ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
2006;28èmes Rencontres Trans Musicales de Rennes;Darlin Nikki;;Tournée des Trans;2006-11-09;L'Olympic;Nantes;Tournée des Trans;2006-11-15;Le Chabada;Angers;Tournée des Trans;2006-11-24;Le 6 par 4;Entrammes;;2006-12-08;Parc des Expositions - Hall 4;Bruz;;;;;;;;;France;;;;Rennes;;;;;2006.0
2007;29èmes Rencontres Trans Musicales de Rennes;Sinden;;;2007-12-08;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2004;2005.0
2007;29èmes Rencontres Trans Musicales de Rennes;Yuksek;;;2007-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2002;2003.0
2007;29èmes Rencontres Trans Musicales de Rennes;Fujiya & Miyagi;;;2007-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Brighton;;;;2000;2002.0
2007;29èmes Rencontres Trans Musicales de Rennes;Girl Talk;;;2007-12-08;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Pittsburgh;;;;2000;2002.0
2007;29èmes Rencontres Trans Musicales de Rennes;Metronomy;;;2007-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Brighton;;;;1999;2002.0
2004;26èmes Rencontres Trans Musicales de Rennes;Plantlife;;;2004-12-03;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Los Angeles;;;;2003;2003.0
2004;26èmes Rencontres Trans Musicales de Rennes;Nosfell;;;2004-12-03;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;2004.0
2004;26èmes Rencontres Trans Musicales de Rennes;DJ Marrrtin All Stars;;;2004-12-04;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1998;2002.0
2004;26èmes Rencontres Trans Musicales de Rennes;Hot Chip;;;2004-12-02;Parc des Expositions - Hall 5;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2000;2000.0
2004;26èmes Rencontres Trans Musicales de Rennes;Lars Horntveth;;;2004-12-03;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Norvège;;;;Oslo;;;;1994;1996.0
2004;26èmes Rencontres Trans Musicales de Rennes;DJ Zebra;;;2004-12-02;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1990;1993.0
2005;Trans en Chine;St Germain;;Les Trans à l'Export;2005-06-19;Chaoyang Park;Pékin;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;1993;1993.0
1994;16èmes Rencontres Trans Musicales de Rennes;Wayne Kramer;;;1994-12-03;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Detroit;;;;1964;1968.0
1992;14èmes Rencontres Trans Musicales de Rennes;Katerine;Rosebud Party;;1992-12-04;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;1991;1991.0
1992;14èmes Rencontres Trans Musicales de Rennes;Element of Crime;;;1992-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Allemagne;;;;Berlin;;;;1985;1986.0
1994;16èmes Rencontres Trans Musicales de Rennes;Bandulu;Ethniks 2 Techniks;;1994-12-03;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1992;1992.0
1994;16èmes Rencontres Trans Musicales de Rennes;Lama Gyourme & Jean-Philippe Rykiel;Ethniks 2 Techniks;;1994-12-03;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;Bhoutan;France;;;;;;;;1995.0
1994;16èmes Rencontres Trans Musicales de Rennes;L7;;;1994-12-02;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Los Angeles;;;;1985;1988.0
1990;12èmes Rencontres Trans Musicales de Rennes;Canray Fontenot & Elridge Thibodeaux;;;1990-12-04;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Welsh;;;;1937;1971.0
1990;12èmes Rencontres Trans Musicales de Rennes;Les Skippies;;;1990-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;1995.0
1995;17èmes Rencontres Trans Musicales de Rennes;Attica Blues;Mo Wax presents Headz;;1995-11-29;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1994;1994.0
1995;17èmes Rencontres Trans Musicales de Rennes;Charles Schilling;;;1995-12-02;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;;;;;1992;1996.0
1995;17èmes Rencontres Trans Musicales de Rennes;Garbage;;;1995-12-01;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Madison;;;;1994;
1982;4èmes Rencontres Trans Musicales de Rennes;Marc Minelli;;;1982-12-17;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Le Havre;;;;1977;1981.0
1981;3èmes Rencontres Trans Musicales de Rennes;Corazon Rebelde;;;1981-12-18;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;;1983.0
1981;3èmes Rencontres Trans Musicales de Rennes;C K C;;;1981-12-16;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rouen;;;;;1981.0
2003;25èmes Rencontres Trans Musicales de Rennes;Willie Cortez;;;2003-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1984;1993.0
2002;24èmes Rencontres Trans Musicales de Rennes;Françoise Guimbert;;;2002-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Réunion;;;;;1978.0
2002;24èmes Rencontres Trans Musicales de Rennes;I N Fused;;;2002-12-05;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Montpellier;;;;;1999.0
2003;25èmes Rencontres Trans Musicales de Rennes;Donna Summer;;;2003-12-05;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;Allemagne;;;;Berlin;;;;;2001.0
2003;25èmes Rencontres Trans Musicales de Rennes;Mu;;;2003-12-05;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;Japon;Royaume-Uni;;;;;;;;2003.0
2002;24èmes Rencontres Trans Musicales de Rennes;The Faint;;;2002-12-06;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Omaha;;;;1994;1998.0
2002;24èmes Rencontres Trans Musicales de Rennes;Zong;;;2002-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;France (Réunion);;;;;;;;1996;2001.0
2003;25èmes Rencontres Trans Musicales de Rennes;Breakout Project;;Danse Hip-Hop;2003-12-04;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1998;2004.0
2003;25èmes Rencontres Trans Musicales de Rennes;Bérurier Noir;;;2003-12-04;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1978;1983.0
2003;25èmes Rencontres Trans Musicales de Rennes;Cody ChesnuTT;;;2003-12-06;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;1992;2002.0
2000;22èmes Rencontres Trans Musicales de Rennes;DJ Big Buddha;;;2000-12-01;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Marseille;;;;;
2016;38èmes Rencontres Trans Musicales de Rennes;NGOD;;;2016-12-03;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Bradford;;;;2009;
2010;32èmes Rencontres Trans Musicales de Rennes;Janski Beeeats;;;2010-12-11;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2007;2010.0
2011;33èmes Rencontres Trans Musicales de Rennes;Dempster Highway;;;2011-12-01;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;;;;;France;;;;Clermont-Ferrand;;;;2010;2011.0
2009;31èmes Rencontres Trans Musicales de Rennes;Popof;;;2009-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;1996;1996.0
2014;36èmes Rencontres Trans Musicales de Rennes;The Avener;;;2014-12-05;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Paris;;;;2013 / 2004 sous un autre pseudo;2014.0
2013;35èmes Rencontres Trans Musicales de Rennes;DOIST!;;;2013-12-07;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2010;2013.0
2013;35èmes Rencontres Trans Musicales de Rennes;Big Buddha;;;2013-12-05;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Marseille;;;;;
2011;33èmes Rencontres Trans Musicales de Rennes;Maylee Todd;;;2011-12-02;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Canada;;;;Toronto;;;;2005;2010.0
2010;32èmes Rencontres Trans Musicales de Rennes;Ava Luna;;;2010-12-11;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;2006;2007.0
1999;21èmes Rencontres Trans Musicales de Rennes;Ken Ishii;;;1999-12-04;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Japon;;;;Tokyo;;;;Début 1990's;1993.0
1999;21èmes Rencontres Trans Musicales de Rennes;EZ3kiel;;;1999-12-03;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Tours;;;;1993;1998.0
1999;21èmes Rencontres Trans Musicales de Rennes;Emir Kusturica & The No Smoking Orchestra;;;1999-12-02;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Serbie;;;;;;;;1998;1998.0
2017;39èmes Rencontres Trans Musicales de Rennes;Deejay Irie & Mc Sherlock;;;2017-12-09;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;Brésil;Pays-Bas;;;São Paulo;Groningen;;;1998 pour Deejay Irie / 1990 pour MC Sherlock;
2016;38èmes Rencontres Trans Musicales de Rennes;Leska;;;2016-12-02;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2015 en duo (2011 pour Les Gordon / 2013 pour Douchka);
2017;39èmes Rencontres Trans Musicales de Rennes;Topper Harley;;;2017-12-09;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2007;
2015;37èmes Rencontres Trans Musicales de Rennes;Claude;;;2015-12-04;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;"2012 (2005 sous le nom ""Fulgeance"" /  2006 en tant que ""Peter Digital Orchestra"" / 2009 dans le duo Souleance)";2014.0
2015;37èmes Rencontres Trans Musicales de Rennes;Clarence Clarity;;;2015-12-03;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2012;2013.0
2016;38èmes Rencontres Trans Musicales de Rennes;Weval;;Focus Pays-Bas;2016-12-01;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Pays-Bas;;;;Amsterdam;;;;2010;
2015;37èmes Rencontres Trans Musicales de Rennes;DJ Crocodile;;;2015-12-04;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;"Début des années 2000 (précédemment sous le nom ""DJ Boogie"")";
2018;40èmes Rencontres Trans Musicales de Rennes;Wooze;;;2018-12-09;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Corée du Sud;Royaume-Uni;;;Londres;;;;2017;
2017;39èmes Rencontres Trans Musicales de Rennes;Tank And The Bangas;;;2017-12-08;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;La Nouvelle-Orléans;;;;2011;
2013;35èmes Rencontres Trans Musicales de Rennes;Benjamin Clementine;;Création;2013-12-04;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2013-12-05;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2013-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2013-12-07;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;Royaume-Uni;;;;;;;;2012;2013.0
2017;39èmes Rencontres Trans Musicales de Rennes;Ghetto Kumbé;;;2017-12-07;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Colombie;;;;Bogota;;;;2013;
2018;40èmes Rencontres Trans Musicales de Rennes;Nâtah Big Band;;;2018-12-08;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2016;
2018;40èmes Rencontres Trans Musicales de Rennes;Bafang;;;2018-12-06;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Caen;;;;2016;
2017;39èmes Rencontres Trans Musicales de Rennes;Azur;;;2017-12-09;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Lille;;;;2015;
1998;20èmes Rencontres Trans Musicales de Rennes;Faze Action;;;1998-12-05;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;1995.0
1998;20èmes Rencontres Trans Musicales de Rennes;DJ Marcelinho Da Lua;;;1998-12-05;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;Brésil;;;;Rio de Janeiro;;;;;
2008;30èmes Rencontres Trans Musicales de Rennes;Professor Murder;;;2008-12-06;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;New York City;;;;2004;2004.0
2001;23èmes Rencontres Trans Musicales de Rennes;Shalark;;;2001-11-29;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;1999.0
2001;23èmes Rencontres Trans Musicales de Rennes;Mouloud;;;2001-11-29;Antipode;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;;2001.0
1999;21èmes Rencontres Trans Musicales de Rennes;Quannum;;;1999-12-04;Liberté Haut;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Oakland;;;;1992;1999.0
1997;19èmes Rencontres Trans Musicales de Rennes;Cornershop;;;1997-12-05;Liberté;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Leicester;;;;1992;1993.0
1998;20èmes Rencontres Trans Musicales de Rennes;Tryo;;;1998-12-03;Liberté Bas;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;1995;1998.0
2018;40èmes Rencontres Trans Musicales de Rennes;Nova Materia;;;2018-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Chili;France;;;Paris / Santiago;;;;2015;
2016;38èmes Rencontres Trans Musicales de Rennes;Cabo San Roque;;;2016-12-03;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Espagne;;;;Barcelone;;;;2014 en tant que duo musical (2001 comme un plus large groupe dédié à des spectacles/performances);
2016;38èmes Rencontres Trans Musicales de Rennes;Barbagallo;;;2016-12-02;Théâtre du Vieux Saint-Etienne;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Toulouse;;;;2014 (2006 pour son premier projet solo nommé Lecube / 2001 dans le groupe Hyperclean);
2017;39èmes Rencontres Trans Musicales de Rennes;The Midnight Revolution;;Tournée des Trans;2017-11-16;Ubu;Rennes;Kaléidoscope;2017-11-18;Centre Culturel Jovence;Louvigné-du-Désert;Tournée des Trans;2017-11-23;Stereolux;Nantes;Tournée des Trans;2017-11-25;Run Ar Puns;Châteaulin;Tournée des Trans;2017-12-02;La Nouvelle Vague;Saint-Malo;;2017-12-08T00:00:00;L'Étage;Rennes;France;;;;Rennes;;;;2013;
2013;35èmes Rencontres Trans Musicales de Rennes;Frikstailers;;;2013-12-06;Parc des Expositions - Hall 4;Rennes;;;;;;;;;;;;;;;;;;;;;Argentine;;;;;;;;2009;2009.0
2013;35èmes Rencontres Trans Musicales de Rennes;Julian Jeweil;;;2013-12-07;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2006;2006.0
2017;39èmes Rencontres Trans Musicales de Rennes;Ylia;;;2017-12-08;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Espagne;;;;Alicante;Barcelone;;;1999;
2017;39èmes Rencontres Trans Musicales de Rennes;Compagnie Zahrbat - Brahim Bouchelaguem;;Danse Hip-Hop;2017-12-08;Le Triangle;Rennes;Danse Hip-Hop;2017-12-09;Le Triangle;Rennes;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;39èmes Rencontres Trans Musicales de Rennes;Lakuta;;;2017-12-07;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Brighton;;;;2015 (2008 sous le nom 'Kalakuta Millionaires');
2017;39èmes Rencontres Trans Musicales de Rennes;Husky Loops;;;2017-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Italie;;;;Bologne;;;;2014;
2018;40èmes Rencontres Trans Musicales de Rennes;DJ Whitehot;;;2018-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Montreuil;;;;2003;
2014;36èmes Rencontres Trans Musicales de Rennes;Tumi Mogorosi;;Conférence-Concert du Jeu de l'Ouïe;2014-11-05;Les Champs Libres;Rennes;;2014-12-06;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;Afrique du Sud;;;;;;;;2ème moitié des années 2000;2014.0
2014;36èmes Rencontres Trans Musicales de Rennes;Wife;Red Bull Music Academy;;2014-12-06;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Irlande;;;;;;;;2012 / 2006 dans Altar of Plagues;2012.0
2015;37èmes Rencontres Trans Musicales de Rennes;Kaang;;;2015-12-04;L'Aire Libre;Saint-Jacques-de-la-Lande;;2015-12-05;L'Aire Libre;Saint-Jacques-de-la-Lande;;2015-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;France (Réunion);Lesotho;;;;;;;2013;2015.0
2015;37èmes Rencontres Trans Musicales de Rennes;Imarhan;;;2015-12-05;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;Algérie;;;;Tamanrasset;;;;2008;2015.0
2018;40èmes Rencontres Trans Musicales de Rennes;Kosmo Pilot VS Repi Del Mundo;;;2018-12-08;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Tournon-d'Agenais / Rennes;;;;2018;
2018;40èmes Rencontres Trans Musicales de Rennes;Hubert Lenoir;;;2018-12-06;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Canada;;;;Québec;;;;2017;
2018;40èmes Rencontres Trans Musicales de Rennes;Glitter٥٥;;;2018-12-07;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;;;;;Maroc;;;;Rabat;;;;2017;
2018;40èmes Rencontres Trans Musicales de Rennes;La Fleur;;;2018-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Suède;;;;Stockholm;;;;2003;
2014;36èmes Rencontres Trans Musicales de Rennes;Dad Rocks!;;;2014-12-05;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Danemark;Islande;;;Arhus;;;;2009;2011.0
2014;36èmes Rencontres Trans Musicales de Rennes;Curtis Harding;;;2014-12-04;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Atlanta;;;;2013 / 2002 avec Cee-Lo Green;2014.0
2015;37èmes Rencontres Trans Musicales de Rennes;Fango;;;2015-12-04;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Italie;;;;Venise;;;;2012;2013.0
2016;38èmes Rencontres Trans Musicales de Rennes;NO ZU;;;2016-12-02;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Australie;;;;Melbourne;;;;2009 en tant que groupe (2007, comme un projet solo de Nicolas Oogjes);
2014;36èmes Rencontres Trans Musicales de Rennes;Bison Bisou;;Focus;2014-11-04;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Lille;;;;2011;2011.0
2014;36èmes Rencontres Trans Musicales de Rennes;Awesome Tapes From Africa;;;2014-12-06;Parc des Expositions - Hall 8;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;2006;2011.0
2013;35èmes Rencontres Trans Musicales de Rennes;Leonie Pernet;;;2013-12-04;L'Aire Libre;Saint-Jacques-de-la-Lande;;2013-12-05;L'Aire Libre;Saint-Jacques-de-la-Lande;;2013-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;;2013-12-07;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;France;;;;Paris;;;;2013;2013.0
2013;35èmes Rencontres Trans Musicales de Rennes;Meridian Brothers;;;2013-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Colombie;;;;;;;;1998;2005.0
2013;35èmes Rencontres Trans Musicales de Rennes;The Same Old Band;;Tournée des Trans;2013-11-14;Ubu;Rennes;Focus;2013-12-06;L'Étage;Rennes;;;;;;;;;;;;;;;;;France;;;;Lorient;;;;2011;2012.0
2012;34èmes Rencontres Trans Musicales de Rennes;Botibol;High On Democracy;;2012-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2006;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;Goldwave;;Focus;2012-12-06;L'Étage;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Caen;;;;2008;2011.0
2012;34èmes Rencontres Trans Musicales de Rennes;Sarah W_Papsun;;;2012-12-07;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2006;2009.0
2012;34èmes Rencontres Trans Musicales de Rennes;Shazzula;;;2012-12-08;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;Belgique;;;;Bruxelles;;;;1998;2010.0
2011;33èmes Rencontres Trans Musicales de Rennes;Backpack Jax;;;2011-11-17;Ubu;Rennes;;2011-12-03;La Cité;Rennes;;;;;;;;;;;;;;;;;France;;;;Nantes;;;;2009;2011.0
2011;33èmes Rencontres Trans Musicales de Rennes;Juveniles;;Tournée des Trans;2011-11-16;Le Chabada;Angers;Tournée des Trans;2011-11-23;Stereolux;Nantes;Tournée des Trans;2011-11-26;Le Normandy;Saint-Lô;;2011-12-02;Ubu;Rennes;;;;;;;;;France;;;;Rennes;;;;2011;2011.0
2011;33èmes Rencontres Trans Musicales de Rennes;Lewis Floyd Henry;;;2011-12-01;Liberté Bas;Rennes;Les Trans dans les Prisons;2011-12-03;Centre Pénitentiaire des Hommes;Vezin-Le-Coquet;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2007;2011.0
2011;33èmes Rencontres Trans Musicales de Rennes;Wonderboy;;Kaléidoscope;2011-11-12;Centre Culturel de l'Ecusson;Josselin;Kaléidoscope;2011-11-18;L'Omnibus;Saint-Malo;Kaléidoscope;2011-11-26;Centre Culturel Jovence;Louvigné-du-Désert;;2011-12-02;Ubu;Rennes;;;;;;;;;France;;;;Rennes;;;;2007;2011.0
2010;32èmes Rencontres Trans Musicales de Rennes;Batida;;;2010-12-11;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;Portugal;Angola;;;;;;;2008;2009.0
2010;32èmes Rencontres Trans Musicales de Rennes;DJ Psyche;;;2010-12-11;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;2008;
2010;32èmes Rencontres Trans Musicales de Rennes;Furs;;Tournée des Trans;2010-12-02;Le Cargö;Caen;Focus;2010-12-09;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;France;;;;Vannes;;;;2006;
2010;32èmes Rencontres Trans Musicales de Rennes;Old School Nemo;;;2010-12-09;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;1991;1999.0
2009;31èmes Rencontres Trans Musicales de Rennes;Gaëtan Roussel;;Création;2009-12-02;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2009-12-03;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2009-12-04;L'Aire Libre;Saint-Jacques-de-la-Lande;Création;2009-12-05;L'Aire Libre;Saint-Jacques-de-la-Lande;;2009-12-06;L'Aire Libre;Saint-Jacques-de-la-Lande;;;;;France;;;;;;;;;2010.0
2009;31èmes Rencontres Trans Musicales de Rennes;Jessie Evans;;Les Trans dans les Prisons;2009-12-03;Centre Pénitentiaire des Femmes;Rennes;;2009-12-04;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;États-Unis;;;;;;;;;2009.0
2008;30èmes Rencontres Trans Musicales de Rennes;Goran Gora;;;2008-12-03;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;Lettonie;;;;;;;;2005;2005.0
2008;30èmes Rencontres Trans Musicales de Rennes;Miss Blue;;;2008-12-06;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;;;;;2001;
2007;29èmes Rencontres Trans Musicales de Rennes;Boys Noize;;;2007-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Allemagne;;;;;;;;1996;2000.0
2007;29èmes Rencontres Trans Musicales de Rennes;Flying Lotus;;;2007-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Winnetka;;;;2005;2006.0
2007;29èmes Rencontres Trans Musicales de Rennes;Kim Novak;;Tournée des Trans;2007-11-10;Le VIP;Saint-Nazaire;Tournée des Trans;2007-11-16;Le Coatelan;Morlaix;Focus;2007-12-08;Le 4 Bis;Rennes;;;;;;;;;;;;;France;;;;;;;;2005;2007.0
2007;29èmes Rencontres Trans Musicales de Rennes;Modeselektor;;;2007-12-08;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Allemagne;;;;Berlin;;;;1996;2002.0
2006;28èmes Rencontres Trans Musicales de Rennes;DJ Netik;;;2006-12-09;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1997;2004.0
2006;28èmes Rencontres Trans Musicales de Rennes;I'm From Barcelona;;;2006-12-07;Parc des Expositions - Hall 9;Bruz;;;;;;;;;;;;;;;;;;;;;Suède;;;;;;;;2005;2006.0
