ANNÉE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIRÉE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;6EME PROJET;6EME DATE;6EME SALLE;6EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE
1993;15èmes Rencontres Trans Musicales de Rennes;Charlie Cottage;;;1993-12-02;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Saint-Malo;;;;1991;1993.0
1993;15èmes Rencontres Trans Musicales de Rennes;DJ Blake Baxter;Rave Ô Trans II;;1993-12-04;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Detroit;;;;Début 1980's;1987.0
1993;15èmes Rencontres Trans Musicales de Rennes;Jamiroquai;;;1993-12-03;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1992;1992.0
1992;14èmes Rencontres Trans Musicales de Rennes;DJ Trevor Fung;;;1992-12-05;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1982;1990.0
1991;13èmes Rencontres Trans Musicales de Rennes;Bruno Green & The Easy Sliders;;;1991-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;;1990.0
1991;13èmes Rencontres Trans Musicales de Rennes;Leon Redbone;;;1991-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;New York City;;;;Début 1970's;1975.0
1991;13èmes Rencontres Trans Musicales de Rennes;Shoulders;;;1991-12-05;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Austin;;;;1987;1992.0
1990;12èmes Rencontres Trans Musicales de Rennes;Croaks;;Bars en Trans;1990-12-05;Ubu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rouen;;;;;
1990;12èmes Rencontres Trans Musicales de Rennes;Shredded Ermine's;;Bars en Trans;1990-12-08;L'Inconnu;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Nevers;;;;1985;1987.0
1989;11èmes Rencontres Trans Musicales de Rennes;House Of Love;;;1989-12-10;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1986;1987.0
1989;11èmes Rencontres Trans Musicales de Rennes;Onipa Nua;;;1989-12-06;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;Ghana;;;;Accra;;;;;1990.0
1988;10èmes Rencontres Trans Musicales de Rennes;Apple Mosaïc;;;1988-12-02;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Bristol;;;;;1987.0
1988;10èmes Rencontres Trans Musicales de Rennes;Ben Vaughn Combo;;;1988-12-03;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;États-Unis;;;;Philadelphie;;;;1983;1985.0
1988;10èmes Rencontres Trans Musicales de Rennes;La Muerte;;;1988-12-02;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Belgique;;;;Bruxelles;;;;1984;1984.0
1987;9èmes Rencontres Trans Musicales de Rennes;Age of Chance;;;1987-12-09;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Leeds;;;;1985;1985.0
1987;9èmes Rencontres Trans Musicales de Rennes;Gaye Bykers on Acid;;;1987-12-09;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Leicester;;;;1984;1987.0
1987;9èmes Rencontres Trans Musicales de Rennes;Howard Hughes & The Western Approaches;;;1987-12-12;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;1986.0
1987;9èmes Rencontres Trans Musicales de Rennes;Zoot and The Roots;;;1987-12-10;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;York;;;;;
1986;8èmes Rencontres Trans Musicales de Rennes;Anches Doo Too Cool Duo;Daho en concert avec ses amis;;1986-12-09;Salle Omnisports;Rennes;;;;;;;;;;;;;;;;;;;;;France;;;;Rennes;;;;1978;1980.0
1986;8èmes Rencontres Trans Musicales de Rennes;The Purple Helmets;;;1986-12-10;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;1983;1988.0
1985;7èmes Rencontres Trans Musicales de Rennes;Kissing Bandits;;;1985-12-18;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Glasgow;;;;;1984.0
1985;7èmes Rencontres Trans Musicales de Rennes;Redskins;;;1985-12-20;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;York;;;;1982;1983.0
1985;7èmes Rencontres Trans Musicales de Rennes;Robyn Hitchcock;;;1985-12-19;La Cité;Rennes;;;;;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;;1977.0
